technique_id,learning_tier,title,instructions_text,spl_query,chart_type,explanation_text,framework_mapping,mitigation_text,execution_mode,triage_runbook_text,expected_outcome
AML.T0000,4,AML.T0000: ML Model Feature Inference via API,"**Objective:** Practice detecting ML Model Feature Inference via API (AML.T0000).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: SIMULATED).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the Reconnaissance phase using ML Model Feature Inference via API. In a multi-agent banking environment, this targets inference_api, model_endpoint to achieve: Reveals model architecture enabling targeted evasion or extraction attacks

**Risk:** CVSS 5.3 (Medium): Reveals model architecture enabling targeted evasion or extraction attacks","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0000"" | stats count by gen_ai_agent_id span=1m | where count > 50",bar,"Adversary probes the model's inference API to identify input features, model type, and decision boundaries without access to model internals.

**Impact:** Reveals model architecture enabling targeted evasion or extraction attacks

**Execution mode in lab:** SIMULATED. This is a SIMULATED/breadth technique — focus on hunt fields, not live model behavior.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0000 — ML Model Feature Inference via API (Reconnaissance / Reconnaissance) | OWASP LLM: LLM03 | OWASP ASI: ASI04 | NIST AI RMF: MAP-1.5, MEASURE-2.5 | MAESTRO: L1, L3",Rate-limit inference API | Add query perturbation | Monitor high-frequency probing patterns,SIMULATED,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `RATE_LIMIT` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `inference_api_query_rate > baseline_sigma_3` in raw events. 4. Map to frameworks: OWASP LLM03; severity Medium (CVSS 5.3). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain. 6. SIMULATED mode — no live LLM harm; confirm hunt fields populated for compliance matrix.",SIMULATED
AML.T0001,4,AML.T0001: AI Model Inference via Direct Access,"**Objective:** Practice detecting AI Model Inference via Direct Access (AML.T0001).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: SIMULATED).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the Reconnaissance phase using AI Model Inference via Direct Access. In a multi-agent banking environment, this targets model_weights, model_file_store to achieve: Full model capability mapping without API rate limits

**Risk:** CVSS 5.0 (Medium): Full model capability mapping without API rate limits","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0001"" | table _time gen_ai_agent_id event_type",table,"Adversary with direct access to model weights or files performs inference to reconstruct decision logic.

**Impact:** Full model capability mapping without API rate limits

**Execution mode in lab:** SIMULATED. This is a SIMULATED/breadth technique — focus on hunt fields, not live model behavior.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.",MITRE ATLAS: AML.T0001 — AI Model Inference via Direct Access (Reconnaissance / Reconnaissance) | OWASP LLM: LLM03 | OWASP ASI: N/A | NIST AI RMF: MAP-1.5 | MAESTRO: L1,Encrypt model weights at rest | Restrict file system access | Monitor model file reads,SIMULATED,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `ALERT` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `model_file_read_by_unauthorized_principal` in raw events. 4. Map to frameworks: OWASP LLM03; severity Medium (CVSS 5.0). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain. 6. SIMULATED mode — no live LLM harm; confirm hunt fields populated for compliance matrix.",SIMULATED
AML.T0002,4,AML.T0002: AI Model Inference via Passive Collection,"**Objective:** Practice detecting AI Model Inference via Passive Collection (AML.T0002).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: SIMULATED).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the Reconnaissance phase using AI Model Inference via Passive Collection. In a multi-agent banking environment, this targets network_traffic, shared_logs, output_cache to achieve: Model capability map built without direct interaction

**Risk:** CVSS 4.0 (Medium): Model capability map built without direct interaction","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0002""",table,"Adversary passively collects model inputs and outputs from network traffic or shared logs to infer model behavior.

**Impact:** Model capability map built without direct interaction

**Execution mode in lab:** SIMULATED. This is a SIMULATED/breadth technique — focus on hunt fields, not live model behavior.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0002 — AI Model Inference via Passive Collection (Reconnaissance / Reconnaissance) | OWASP LLM: LLM02 | OWASP ASI: N/A | NIST AI RMF: MAP-1.5, MEASURE-2.10 | MAESTRO: L1, L2",Encrypt inference traffic | Redact outputs in shared logs | Implement output perturbation,SIMULATED,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `ALERT` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `unusual_log_export_volume` in raw events. 4. Map to frameworks: OWASP LLM02; severity Medium (CVSS 4.0). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain. 6. SIMULATED mode — no live LLM harm; confirm hunt fields populated for compliance matrix.",SIMULATED
AML.T0003,4,AML.T0003: System Prompt Discovery,"**Objective:** Practice detecting System Prompt Discovery (AML.T0003).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: SIMULATED).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the Reconnaissance phase using System Prompt Discovery. In a multi-agent banking environment, this targets system_prompt, agent_context to achieve: Reveals guardrail structure enabling targeted bypass

**Risk:** CVSS 6.5 (High): Reveals guardrail structure enabling targeted bypass","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0003"" galileo_check=""PROMPT_LEAK_DETECTED""",table,"Adversary uses crafted prompts to extract or infer the hidden system prompt, revealing guardrails and behavioral constraints.

**Impact:** Reveals guardrail structure enabling targeted bypass

**Execution mode in lab:** SIMULATED. This is a SIMULATED/breadth technique — focus on hunt fields, not live model behavior.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0003 — System Prompt Discovery (Reconnaissance / Reconnaissance) | OWASP LLM: LLM07 | OWASP ASI: ASI01 | NIST AI RMF: MAP-1.5, GOVERN-1.1 | MAESTRO: L3, L6",Instruct model not to reveal system prompt | Monitor for prompt extraction patterns | Validate outputs against system prompt disclosure,SIMULATED,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `HARD_DENY` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `output_contains_system_prompt_fragment` in raw events. 4. Map to frameworks: OWASP LLM07; severity High (CVSS 6.5). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain. 6. SIMULATED mode — no live LLM harm; confirm hunt fields populated for compliance matrix.",SIMULATED
AML.T0004,4,AML.T0004: Search for Victim AI Infrastructure,"**Objective:** Practice detecting Search for Victim AI Infrastructure (AML.T0004).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: SIMULATED).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the Reconnaissance phase using Search for Victim AI Infrastructure. In a multi-agent banking environment, this targets model_endpoint, vector_db, mlflow_server to achieve: Identifies attack surface for subsequent exploitation

**Risk:** CVSS 3.7 (Low): Identifies attack surface for subsequent exploitation","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0004""",table,"Adversary scans for exposed AI model endpoints, Jupyter notebooks, MLflow servers, or vector database ports.

**Impact:** Identifies attack surface for subsequent exploitation

**Execution mode in lab:** SIMULATED. This is a SIMULATED/breadth technique — focus on hunt fields, not live model behavior.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.",MITRE ATLAS: AML.T0004 — Search for Victim AI Infrastructure (Reconnaissance / Reconnaissance) | OWASP LLM: N/A | OWASP ASI: ASI04 | NIST AI RMF: MAP-1.1 | MAESTRO: L7,Remove public exposure of AI infrastructure | Implement network segmentation | Use Splunk Asset Discovery to inventory AI assets,SIMULATED,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `ALERT` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `port_scan_targeting_ai_ports` in raw events. 4. Map to frameworks: OWASP N/A; severity Low (CVSS 3.7). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain. 6. SIMULATED mode — no live LLM harm; confirm hunt fields populated for compliance matrix.",SIMULATED
AML.T0005,4,AML.T0005: AI Model OSINT Collection,"**Objective:** Practice detecting AI Model OSINT Collection (AML.T0005).

**Lab path:** Attack Panel → Scenario 4 → EXECUTE (mode: LIVE).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the Reconnaissance phase using AI Model OSINT Collection. In a multi-agent banking environment, this targets public_model_card, github_repo, job_postings to achieve: Targeted attack planning using known vulnerabilities of identified model

**Risk:** CVSS 3.1 (Low): Targeted attack planning using known vulnerabilities of identified model","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0005""",table,"Adversary uses public sources (HuggingFace, GitHub, arXiv, job postings) to identify models, frameworks, and architecture used by target.

**Impact:** Targeted attack planning using known vulnerabilities of identified model

**Execution mode in lab:** LIVE. 

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0005 — AI Model OSINT Collection (Reconnaissance / Reconnaissance) | OWASP LLM: N/A | OWASP ASI: ASI04 | NIST AI RMF: MAP-1.1 | MAESTRO: L1, L7",Limit public disclosure of model specifics | Use opaque model identifiers externally,LIVE,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `ALERT` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `model_identifier_in_public_leak` in raw events. 4. Map to frameworks: OWASP N/A; severity Low (CVSS 3.1). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain.",VARIES
AML.T0010,4,AML.T0010: Obtain Capabilities: AI Tools,"**Objective:** Practice detecting Obtain Capabilities: AI Tools (AML.T0010).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: HYBRID).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the InitialAccess phase using Obtain Capabilities: AI Tools. In a multi-agent banking environment, this targets model_registry, training_pipeline, developer_tools to achieve: Establishes foothold in AI development pipeline via compromised tooling

**Risk:** CVSS 6.0 (Medium): Establishes foothold in AI development pipeline via compromised tooling","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0010"" agent.aibom_validated=""false""",table,"Adversary acquires AI development tools, models, or datasets to use in attacks — including trojaned weights or poisoned fine-tuning datasets.

**Impact:** Establishes foothold in AI development pipeline via compromised tooling

**Execution mode in lab:** HYBRID.  HYBRID emits both live and simulated telemetry legs.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0010 — Obtain Capabilities: AI Tools (Initial Access / InitialAccess) | OWASP LLM: N/A | OWASP ASI: ASI04 | NIST AI RMF: GOVERN-6.1, MAP-1.5 | MAESTRO: L7",Verify model provenance via AI BOM | Sign and verify model artifacts | Monitor model registry for unauthorized uploads,HYBRID,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `HARD_DENY` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `unsigned_model_artifact_loaded` in raw events. 4. Map to frameworks: OWASP N/A; severity Medium (CVSS 6.0). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain.",BLOCKED
AML.T0012,4,AML.T0012: Valid ML Service Credential Abuse,"**Objective:** Practice detecting Valid ML Service Credential Abuse (AML.T0012).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: HYBRID).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the InitialAccess phase using Valid ML Service Credential Abuse. In a multi-agent banking environment, this targets api_key_store, oauth_provider, model_api to achieve: Unauthorized model access; potential for training data extraction or model abuse at victim's cost

**Risk:** CVSS 8.1 (High): Unauthorized model access; potential for training data extraction or model abuse at victim's cost","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0012"" | stats dc(source_ip) as unique_ips by api_key | where unique_ips > 3",bar,"Adversary uses stolen or leaked API keys, OAuth tokens, or service accounts to authenticate to AI model APIs.

**Impact:** Unauthorized model access; potential for training data extraction or model abuse at victim's cost

**Execution mode in lab:** HYBRID.  HYBRID emits both live and simulated telemetry legs.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0012 — Valid ML Service Credential Abuse (Initial Access / InitialAccess) | OWASP LLM: LLM08 | OWASP ASI: ASI03 | NIST AI RMF: GOVERN-1.1, MANAGE-2.1 | MAESTRO: L3, L6",Rotate API keys regularly | Use short-lived tokens | Monitor API key usage anomalies | Implement IP allowlisting,HYBRID,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `ALERT` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `api_key_used_from_anomalous_ip` in raw events. 4. Map to frameworks: OWASP LLM08; severity High (CVSS 8.1). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain.",VARIES
AML.T0048,3,AML.T0048: AI System Supply Chain Compromise,"**Objective:** Practice detecting AI System Supply Chain Compromise (AML.T0048).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: HYBRID).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the InitialAccess phase using AI System Supply Chain Compromise. In a multi-agent banking environment, this targets training_dataset, base_model, ml_library, plugin_registry to achieve: Persistent backdoor in production AI system from trusted supply chain source

**Risk:** CVSS 9.1 (Critical): Persistent backdoor in production AI system from trusted supply chain source","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0048"" cisco_aibom_status=""HASH_MISMATCH""",table,"Adversary compromises a component in the AI supply chain: a fine-tuning dataset, base model weights, an ML library dependency, or a third-party plugin.

**Impact:** Persistent backdoor in production AI system from trusted supply chain source

**Execution mode in lab:** HYBRID.  HYBRID emits both live and simulated telemetry legs.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0048 — AI System Supply Chain Compromise (Initial Access / InitialAccess) | OWASP LLM: LLM05 | OWASP ASI: ASI04 | NIST AI RMF: GOVERN-6.1, MAP-1.5 | MAESTRO: L1, L7",AI BOM with cryptographic signing | Verify dataset provenance | Pin ML library versions and verify hashes | Scan plugins before integration,HYBRID,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `HARD_DENY` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `model_hash_mismatch_vs_aibom_baseline` in raw events. 4. Map to frameworks: OWASP LLM05; severity Critical (CVSS 9.1). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain.",BLOCKED
AML.T0049,4,AML.T0049: Publish Poisoned AI Agent Tool,"**Objective:** Practice detecting Publish Poisoned AI Agent Tool (AML.T0049).

**Lab path:** Attack Panel → All 51 Techniques tab → EXECUTE (mode: HYBRID).

**Before you run SPL:** Predict BLOCKED vs INJECTED (or SIMULATED for hunt-only techniques).

**Story:** The adversary advances the InitialAccess phase using Publish Poisoned AI Agent Tool. In a multi-agent banking environment, this targets mcp_tool_registry, plugin_marketplace, agent_tool_scope to achieve: Persistent RCE within agent tool sandbox; data exfiltration capability

**Risk:** CVSS 8.8 (Critical): Persistent RCE within agent tool sandbox; data exfiltration capability","`acme_genai_index` earliest=-30m latest=now technique_id=""AML.T0049"" acme_output_guard_action=""HARD_DENY""",table,"Adversary publishes a malicious MCP tool, LangChain plugin, or agent skill to a public marketplace. Victim agent installs it, giving attacker persistent code execution within the agent's tool scope.

**Impact:** Persistent RCE within agent tool sandbox; data exfiltration capability

**Execution mode in lab:** HYBRID.  HYBRID emits both live and simulated telemetry legs.

**Honest limitation:** Small-model (llama3.2:1b) responses may vary run-to-run; use control telemetry (`acme_output_guard_blocked`, `acme_input_guard_blocked`, `workflow.blocked`) as ground truth, not model wording alone.","MITRE ATLAS: AML.T0049 — Publish Poisoned AI Agent Tool (Initial Access / InitialAccess) | OWASP LLM: N/A | OWASP ASI: ASI04 | NIST AI RMF: GOVERN-6.1 | MAESTRO: L4, L7",Verify tool provenance before installation | Sandbox tool execution | Monitor tool invocation patterns | Maintain approved tool allowlist,HYBRID,"1. Check `acme_output_guard_action` / `acme_output_guard_blocked` — expect `HARD_DENY` when output-side control fires. 2. Pivot on `incident_id` and `gen_ai_agent_id` — look for multi-stage correlation in Kill-Chain Timeline. 3. Validate detection signal `mcp_tool_invoked_not_in_approved_allowlist` in raw events. 4. Map to frameworks: OWASP N/A; severity Critical (CVSS 8.8). 5. Escalate if Critical severity repeats for the same agent within 1 hour, or if `incident_id` ties to an active kill-chain.",BLOCKED
