agent_name,vendorsim_objective,vendorsim_technique,vendorsim_subtechnique,owasp_classification,mitre_atlas_id,severity,eu_ai_act_risk_tier
Customer Intake,TA0040,T0010,T0010.001,LLM03:2025 Training Data Poisoning,ATLAS:T0010,medium,Limited
Document Extraction,TA0040,T0010,T0010.002,LLM04:2025 Data and Model Poisoning,ATLAS:T0020,medium,Limited
Credit Risk,TA0040,T0059,T0059.001,LLM04:2025 Data and Model Poisoning,ATLAS:T0059,high,High-Risk
Compliance Verification,TA0040,T0051,T0051.001,LLM02:2025 Sensitive Information Disclosure,ATLAS:T0051,high,High-Risk
Customer Intake,TA0001,T1566,T1566.001,LLM01:2025 Prompt Injection,ATLAS:T0051,critical,High-Risk
Document Extraction,TA0009,T1592,T1592.002,LLM01:2025 Prompt Injection,ATLAS:T0043,high,High-Risk
Credit Risk,TA0004,T1078,T1078.004,LLM08:2025 Excessive Agency,ATLAS:T0054,critical,High-Risk
Compliance Verification,TA0002,T1059,T1059.004,LLM07:2025 Insecure Plugin Design,ATLAS:T0057,critical,High-Risk
Customer Intake,TA0005,T1048,T1048.001,LLM06:2025 Sensitive Information Disclosure,ATLAS:T0056,high,High-Risk
Compliance Verification,TA0008,T1490,T1490.001,LLM08:2025 Excessive Agency,ATLAS:T0062,critical,High-Risk
Compliance Verification,TA0043,T0074,,LLM06:2025 Excessive Agency,ATLAS:T0074,critical,High-Risk
Document Extraction,TA0043,T0070,,LLM07:2025 Insecure Plugin Design,ATLAS:T0070,critical,High-Risk
Customer Intake,TA0040,T0071,,LLM03:2025 Supply Chain,ATLAS:T0071,critical,High-Risk
Compliance Verification,TA0040,T0072,,LLM04:2025 Data Poisoning,ATLAS:T0072,high,High-Risk
Credit Risk,TA0004,T0073,,LLM06:2025 Excessive Agency,ATLAS:T0073,high,High-Risk
Compliance Verification,TA0002,T0075,,LLM08:2025 Excessive Agency,ATLAS:T0075,critical,High-Risk
